Product_ID|Product_Category_Name|Total_Quantity_Sold|Total_Revenue|Avg_Review_Score
aca2eb7d00ea1a7b8ebd4e68314663af|Furniture_Decor|527|44820.76|4.1002
99a4788cb24856965c36a24e339b6058|Bed_Bath_Table|491|51391.85|3.9046
422879e10f46682990de24d770e7f83d|Garden_Tools|487|34422.70|4.1246
389d119b48cf3043d311335e499d9c6b|Garden_Tools|392|28682.68|4.1774
368c6c730842d78016ad823897a372db|Garden_Tools|391|28205.19|4.1203
53759a2ecddad2bb87a079a1f1519f73|Garden_Tools|375|27412.39|3.9826
d1c427060a0f73f6b889a5c7c61f2ac4|Computers_Accessories|343|60976.03|4.2344
53b36df67ebb7c41585e8d54d6772e08|Watches_Gifts|323|39957.93|4.2343
154e7e31ebfa092203795c972e5804a6|Health_Beauty|293|10510.99|4.3179
3dd2a17168ec895c781a9191c1e95ad7|Computers_Accessories|274|48212.22|4.3043
2b4609f8948be18874494203496bc318|Health_Beauty|269|27619.81|4.0709
7c1bd920dbdf22470b68bde975dd3ccf|Health_Beauty|239|18208.02|3.8777
a62e25e09e05e6faf31d90c6ec1aa3d1|Watches_Gifts|226|27998.30|4.1462
5a848e4ab52fd5445cdc07aab1c40e48|#N/A|197|27286.05|4.1250
bb50f2e236e5eea0100680137654686c|Health_Beauty|196|67944.87|4.2128
e0d64dcfaa3b6db5c54ca298ae101d05|Watches_Gifts|195|35476.73|3.7772
e53e557d5a159f5aa2c5e995dfdf244b|Computers_Accessories|188|18949.43|3.5443
42a2c92a0979a949ca4ea89ec5c7b934|Housewares|183|14258.97|4.0641
b532349fe46b38fbc7bb3914c1bdae07|Furniture_Decor|170|8759.17|3.6184
35afc973633aaeb6b877ff57b2793310|Home_Confort|167|17318.94|3.8671
